,FlowStep,Thingname,ActorModifiedby,Line_number,CreatedBy,tag_number,Created_By,Startedby,"CONVERT_TZ(t3.completed, 'GMT', 'US/Pacific')",PartNumber,created
0,3BM-20001,TG120255002S90,3BM2-26400-01,,ignition-gf1-bm-tag9-prod,tag9-,ACTA3,3BM2-26400-01,43:34.0,1508203-01-H,56:10.0
1,3BM-20001,TG120255002VMD,3BM2-26400-01,,ignition-gf1-bm-tag9-prod,tag9-,ACTA3,3BM2-26400-01,43:44.5,1508204-01-H,37:18.0
2,3BM-20001,TG120255002TLL,3BM2-26400-01,,ignition-gf1-bm-tag9-prod,tag9-,ACTA3,3BM2-26400-01,43:55.7,1508203-01-H,18:18.0
3,3BM-20001,TG120255002WS7,3BM2-26400-01,,ignition-gf1-bm-tag8-prod,tag8-,ACTA2,3BM2-26400-01,44:03.8,1508203-01-H,47:58.0
4,3BM-20001,TG120255002PV8,3BM2-26400-01,,ignition-gf1-bm-tag9-prod,tag9-,ACTA3,3BM2-26400-01,44:06.2,1508202-01-H,42:04.0
5,3BM-20001,TG120255002WE4,3BM2-26400-01,,ignition-gf1-bm-tag8-prod,tag8-,ACTA2,3BM2-26400-01,44:14.2,1508204-01-H,42:10.0
6,3BM-20001,TG120255002TF8,3BM2-26400-01,,ignition-gf1-bm-tag9-prod,tag9-,ACTA3,3BM2-26400-01,44:19.5,1508203-01-H,15:16.0
7,3BM-20001,TG120255002DYY,NMAMC-LINE-01,,ignition-gf1-bm-tag7-prod,tag7-,ACTA1,NMAMC-LINE-01,44:22.6,1508243-01-H,18:40.0
8,3BM-20001,TG1202550020BF,NMAMC-LINE-01,,ignition-gf1-bm-tag7-prod,tag7-,ACTA1,NMAMC-LINE-01,44:24.1,1508242-01-H,26:09.0
9,3BM-20001,TG120255002WMK,3BM2-26400-01,,ignition-gf1-bm-tag8-prod,tag8-,ACTA2,3BM2-26400-01,44:24.6,1508203-01-H,45:58.0
10,3BM-20001,TG120255002KJ8,NMAMC-LINE-01,,ignition-gf1-bm-tag7-prod,tag7-,ACTA1,NMAMC-LINE-01,44:26.2,1508243-01-H,40:52.0
11,3BM-20001,TG1202550026L8,NMAMC-LINE-01,,ignition-gf1-bm-tag7-prod,tag7-,ACTA1,NMAMC-LINE-01,44:27.8,1508244-01-H,51:48.0
